Simulando el datapath 


Dato1,Dato2,F2,F1:0,Resultado
255,2,0,10,1
63,110,0,10,173
111,128,0,10,239
244,96,0,10,84
1,2,0,10,3
11,110,0,10,121
111,128,0,10,239
244,96,0,10,84
1,2,0,10,3
101,12,0,10,113
11,110,0,10,121
111,128,0,10,239
244,96,0,10,84
1,2,0,10,3
11,110,0,10,121
111,128,0,10,239
244,96,0,10,84
1,2,0,10,3
101,12,0,10,113
11,110,0,10,121
111,128,0,10,239
244,96,0,10,84
1,2,0,10,3
11,110,0,10,121
111,128,0,10,239
1,2,0,10,3
11,110,0,10,121
111,128,0,10,239
244,96,0,10,84
1,2,0,10,3
11,110,0,10,121
111,128,0,10,239
244,96,0,10,84
11,12,0,10,23
1,2,0,10,3
11,110,0,10,121
111,128,0,10,239
244,96,0,10,84
1,2,0,10,3
11,110,0,10,121
111,128,0,10,239
244,96,0,10,84
11,12,0,10,23
1,2,0,10,3
11,110,0,10,121
111,128,0,10,239
244,96,0,10,84
1,2,0,10,3
11,110,0,10,121
111,128,0,10,239
0,0,0,10,0
