Simulando el datapath 


Dato1,Dato2,F2,F1:0,Resultado
250,8,0,00,8
63,110,0,00,46
111,128,0,00,0
244,96,0,00,96
1,2,0,00,0
11,110,0,00,10
111,128,0,00,0
244,96,0,00,96
1,2,0,00,0
101,12,0,00,4
11,110,0,00,10
111,128,0,00,0
244,96,0,00,96
1,2,0,00,0
11,110,0,00,10
111,128,0,00,0
244,96,0,00,96
1,2,0,00,0
101,12,0,00,4
11,110,0,00,10
111,128,0,00,0
244,96,0,00,96
1,2,0,00,0
11,110,0,00,10
111,128,0,00,0
1,2,0,00,0
11,110,0,00,10
111,128,0,00,0
244,96,0,00,96
1,2,0,00,0
11,110,0,00,10
111,128,0,00,0
244,96,0,00,96
11,12,0,00,8
1,2,0,00,0
11,110,0,00,10
111,128,0,00,0
244,96,0,00,96
1,2,0,00,0
11,110,0,00,10
111,128,0,00,0
244,96,0,00,96
11,12,0,00,8
1,2,0,00,0
11,110,0,00,10
111,128,0,00,0
244,96,0,00,96
1,2,0,00,0
11,110,0,00,10
111,128,0,00,0
0,0,0,00,0
