Simulando el datapath 


Dato1,Dato2,F2,F1:0,Resultado
250,8,0,01,250
63,110,0,01,127
111,128,0,01,239
244,96,0,01,244
1,2,0,01,3
11,110,0,01,111
111,128,0,01,239
244,96,0,01,244
1,2,0,01,3
101,12,0,01,109
11,110,0,01,111
111,128,0,01,239
244,96,0,01,244
1,2,0,01,3
11,110,0,01,111
111,128,0,01,239
244,96,0,01,244
1,2,0,01,3
101,12,0,01,109
11,110,0,01,111
111,128,0,01,239
244,96,0,01,244
1,2,0,01,3
11,110,0,01,111
111,128,0,01,239
1,2,0,01,3
11,110,0,01,111
111,128,0,01,239
244,96,0,01,244
1,2,0,01,3
11,110,0,01,111
111,128,0,01,239
244,96,0,01,244
11,12,0,01,15
1,2,0,01,3
11,110,0,01,111
111,128,0,01,239
244,96,0,01,244
1,2,0,01,3
11,110,0,01,111
111,128,0,01,239
244,96,0,01,244
11,12,0,01,15
1,2,0,01,3
11,110,0,01,111
111,128,0,01,239
244,96,0,01,244
1,2,0,01,3
11,110,0,01,111
111,128,0,01,239
0,0,0,01,0
