Simulando el datapath 


Dato1,Dato2,F2,F1:0,Resultado
250,8,1,10,242
63,110,1,10,47
111,128,1,10,17
244,96,1,10,148
1,2,1,10,1
11,110,1,10,99
111,128,1,10,17
244,96,1,10,148
1,2,1,10,1
101,12,1,10,89
11,110,1,10,99
111,128,1,10,17
244,96,1,10,148
1,2,1,10,1
11,110,1,10,99
111,128,1,10,17
244,96,1,10,148
1,2,1,10,1
101,12,1,10,89
11,110,1,10,99
111,128,1,10,17
244,96,1,10,148
1,2,1,10,1
11,110,1,10,99
111,128,1,10,17
1,2,1,10,1
11,110,1,10,99
111,128,1,10,17
244,96,1,10,148
1,2,1,10,1
11,110,1,10,99
111,128,1,10,17
244,96,1,10,148
11,12,1,10,1
1,2,1,10,1
11,110,1,10,99
111,128,1,10,17
244,96,1,10,148
1,2,1,10,1
11,110,1,10,99
111,128,1,10,17
244,96,1,10,148
11,12,1,10,1
1,2,1,10,1
11,110,1,10,99
111,128,1,10,17
244,96,1,10,148
1,2,1,10,1
11,110,1,10,99
111,128,1,10,17
0,0,1,10,0
